codigo_departamento,codigo_dpto_mpio,codigo_centro_poblado,nombre_departamento,nombre_municipio,nombre_centro_poblado,nombre_tipo_ctro_pbdo,longitud,latitud,nombre_distrito,tipo_municipio,nombre_area_metro
"05","05059","05059000","ANTIOQUIA","ARMENIA","ARMENIA","CABECERA MUNICIPAL","-75.7868378278","6.15581872915","","MUNICIPIO","",
"05","05059","05059001","ANTIOQUIA","ARMENIA","LA HERRADURA","CENTRO POBLADO","-75.8066512909","6.1465857989","","MUNICIPIO","",
"05","05059","05059003","ANTIOQUIA","ARMENIA","EL SOCORRO","CENTRO POBLADO","-75.7851220562","6.14617635016","","MUNICIPIO","",
"05","05059","05059006","ANTIOQUIA","ARMENIA","FILO SECO","CENTRO POBLADO","-75.811939336","6.14261642881","","MUNICIPIO","",
"05","05059","05059009","ANTIOQUIA","ARMENIA","PALMICHAL","CENTRO POBLADO","-75.8067153775","6.15953192286","","MUNICIPIO","",
"05","05079","05079000","ANTIOQUIA","BARBOSA","BARBOSA","CABECERA MUNICIPAL","-75.3316442322","6.43922688162","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRA",
"05","05079","05079001","ANTIOQUIA","BARBOSA","HATILLO","CENTRO POBLADO","-75.392108211","6.41017259219","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRA",
"05","05079","05079005","ANTIOQUIA","BARBOSA","PLATANITO","CENTRO POBLADO","-75.4068637242","6.40518065786","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRA",
"05","05079","05079008","ANTIOQUIA","BARBOSA","ISAZA","CENTRO POBLADO","-75.3621014316","6.42016770687","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRA",
"05","05079","05079014","ANTIOQUIA","BARBOSA","POPALITO","CENTRO POBLADO","-75.2842746674","6.47284978729","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRA",
"05","05079","05079016","ANTIOQUIA","BARBOSA","YARUMITO","CENTRO POBLADO","-75.3037338606","6.45745734908","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRA",
"05","05079","05079017","ANTIOQUIA","BARBOSA","TABLAZO - HATILLO","CENTRO POBLADO","-75.4133051822","6.41886487701","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRA",
"05","05079","05079018","ANTIOQUIA","BARBOSA","EL PARAISO","CENTRO POBLADO","-75.4148658306","6.41314210862","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRA",
"05","05079","05079019","ANTIOQUIA","BARBOSA","EL SALADITO","CENTRO POBLADO","-75.4018448929","6.4073484053","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRA",
"05","05079","05079020","ANTIOQUIA","BARBOSA","LOMITA 1","CENTRO POBLADO","-75.4069859402","6.41825000334","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRA",
"05","05079","05079021","ANTIOQUIA","BARBOSA","LOMITA 2","CENTRO POBLADO","-75.4077730359","6.41572765141","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRA",
"05","05079","05079022","ANTIOQUIA","BARBOSA","LA PRIMAVERA","CENTRO POBLADO","-75.4063639314","6.41374923374","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRA",
